C created from parVisu 
C Anzahl der Randknoten:
       0       
C Anzahl der Gebietsknoten:
     827       
C Koordinaten und Skalarwerte der Knoten
C --------------------------------------
C Zuerst die Randknoten  (Anzahl s.o.),
C dann die Gebietsknoten (Anzahl s.o.)
C ------------+-------------+-------------+------------------
C     Nr.     |  x-Koord.   |   y-Koord.  |   Skalarwert
C ------------+-------------+-------------+------------------
     412        0.106500000000000 0.0889000000000000 1000.00000000000       
     413        0.138300000000000 0.105000000000000 1000.00000000000       
     414        0.105800000000000 0.125600000000000 1000.00000000000       
     415        0.0729000000000000 0.0295000000000000 1000.00000000000       
     416        0.101400000000000 0.898600000000000 1000.00000000000       
     417        0.0295000000000000 0.927100000000000 1000.00000000000       
     418        0.0729000000000000 0.970500000000000 1000.00000000000       
     419        0.0694000000000000 0.930600000000000 1000.00000000000       
     420        0.0846000000000000 0.792100000000000 1000.00000000000       
     421        0.173200000000000 0.790200000000000 1000.00000000000       
     422        0.123900000000000 0.687900000000000 1000.00000000000       
     423        0.0328000000000000 0.706400000000000 1000.00000000000       
     424        0.0299000000000000 0.672600000000000 1000.00000000000       
     425        0.885100000000000 0.180700000000000 1000.00000000000       
     426        0.945800000000000 0.204800000000000 1000.00000000000       
     427        0.382100000000000 0.541500000000000 10.0000000000000       
     428        0.0326000000000000 0.311300000000000 1000.00000000000       
     429        0.946100000000000 0.454300000000000 1000.00000000000       
     430        0.388000000000000 0.553400000000000 10.0000000000000       
     431        0.561800000000000 0.0321000000000000 1000.00000000000       
     432        0.683400000000000 0.884700000000000 1000.00000000000       
     433        0.710700000000000 0.964100000000000 1000.00000000000       
     434        0.673000000000000 0.969400000000000 1000.00000000000       
     435        0.896500000000000 0.626300000000000 1000.00000000000       
     436        0.458900000000000 0.909900000000000 1000.00000000000       
     437        0.394100000000000 0.873300000000000 1000.00000000000       
     438        0.371600000000000 0.893000000000000 1000.00000000000       
     439        0.363400000000000 0.854300000000000 1000.00000000000       
     440        0.309100000000000 0.838800000000000 1000.00000000000       
     441        0.459700000000000 0.825300000000000 1000.00000000000       
     442        0.427000000000000 0.849400000000000 1000.00000000000       
     443        0.461400000000000 0.861700000000000 1000.00000000000       
     444        0.515900000000000 0.841000000000000 1000.00000000000       
     445        0.492100000000000 0.860300000000000 1000.00000000000       
     446        0.533400000000000 0.886900000000000 1000.00000000000       
     447        0.708900000000000 0.0901000000000000 1000.00000000000       
     448        0.709700000000000 0.174700000000000 1000.00000000000       
     449        0.422700000000000 0.0285000000000000 1000.00000000000       
     450        0.873300000000000 0.336100000000000 1000.00000000000       
     451        0.892400000000000 0.273600000000000 1000.00000000000       
     452        0.882300000000000 0.304700000000000 1000.00000000000       
     453        0.829500000000000 0.306600000000000 1000.00000000000       
     454        0.849900000000000 0.269000000000000 1000.00000000000       
     455        0.763400000000000 0.246300000000000 1000.00000000000       
     456        0.816900000000000 0.218700000000000 1000.00000000000       
     457        0.803900000000000 0.268300000000000 1000.00000000000       
     458        0.843000000000000 0.237600000000000 1000.00000000000       
     459        0.850800000000000 0.199300000000000 1000.00000000000       
     460        0.798400000000000 0.147100000000000 1000.00000000000       
